group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,76,-117.897234,33.85635567,Anaheim,City,336265,49.84000015,ANAHEIM
1,77,-117.89361,33.85635567,Anaheim,City,336265,49.84000015,ANAHEIM
1,78,-117.8936291,33.85785103,Anaheim,City,336265,49.84000015,ANAHEIM
1,79,-117.8892612,33.85783195,Anaheim,City,336265,49.84000015,ANAHEIM
1,80,-117.8892899,33.8596096,Anaheim,City,336265,49.84000015,ANAHEIM
1,81,-117.8832588,33.8596592,Anaheim,City,336265,49.84000015,ANAHEIM
1,82,-117.8848915,33.85363197,Anaheim,City,336265,49.84000015,ANAHEIM
1,83,-117.8687019,33.8577404,Anaheim,City,336265,49.84000015,ANAHEIM
1,84,-117.8693504,33.85949898,Anaheim,City,336265,49.84000015,ANAHEIM
1,85,-117.8704147,33.85924339,Anaheim,City,336265,49.84000015,ANAHEIM
1,86,-117.8710423,33.86095619,Anaheim,City,336265,49.84000015,ANAHEIM
1,87,-117.8699665,33.86123466,Anaheim,City,336265,49.84000015,ANAHEIM
1,88,-117.8702908,33.86208534,Anaheim,City,336265,49.84000015,ANAHEIM
1,89,-117.8661556,33.86316872,Anaheim,City,336265,49.84000015,ANAHEIM
1,90,-117.8658276,33.86227226,Anaheim,City,336265,49.84000015,ANAHEIM
1,91,-117.86166,33.86330223,Anaheim,City,336265,49.84000015,ANAHEIM
1,92,-117.8624287,33.86504173,Anaheim,City,336265,49.84000015,ANAHEIM
1,93,-117.8671894,33.86383247,Anaheim,City,336265,49.84000015,ANAHEIM
1,94,-117.8676758,33.86718941,Anaheim,City,336265,49.84000015,ANAHEIM
1,95,-117.8652,33.86773491,Anaheim,City,336265,49.84000015,ANAHEIM
1,96,-117.8653393,33.86868477,Anaheim,City,336265,49.84000015,ANAHEIM
1,97,-117.849369,33.86821175,Anaheim,City,336265,49.84000015,ANAHEIM
1,98,-117.8477592,33.86861229,Anaheim,City,336265,49.84000015,ANAHEIM
